danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,updated_popularity,genre_edm,genre_latin,genre_pop,genre_r&b,genre_rap,genre_rock,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,song_age,duration_mn
0.686,0.83,-4.437,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.197260273972603,3.5772333333333335
0.618,0.66,-8.14,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6.602739726027397,3.5157333333333334
0.665,0.699,-5.265,0.0578,0.423,0.0,0.0969,0.585,124.896,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7.197260273972603,3.1822
0.661,0.725,-4.859,0.0563,0.0253,0.0,0.123,0.605,119.927,63,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.789041095890411,3.298983333333333
0.571,0.752,-4.872,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,52,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.83013698630137,3.2156833333333332
0.591,0.705,-6.519,0.079,0.381,0.000116,0.131,0.27,121.799,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.695890410958904,3.5886
0.706,0.855,-5.377,0.215,0.0911,0.0,0.347,0.293,107.184,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7.254794520547946,3.354216666666667
0.404,0.806,-4.75,0.0496,0.198,0.0,0.114,0.112,148.036,58,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.36986301369863,3.6788333333333334
0.876,0.856,-3.884,0.0486,0.0812,1.29e-06,0.457,0.685,121.991,43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.465753424657534,3.0843666666666665
0.802,0.645,-6.181,0.0715,0.272,0.0,0.119,0.376,100.001,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.720547945205479,2.620033333333333
0.906,0.832,-3.004,0.0718,0.0909,0.0,0.152,0.751,104.03,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.465753424657534,2.66255
0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,0.437,107.01,78,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.931506849315069,3.078866666666667
0.693,0.674,-4.449,0.0723,0.185,0.0,0.0639,0.378,95.972,49,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.254794520547946,2.6833
0.672,0.815,-6.476,0.0981,0.00246,0.0,0.577,0.341,115.033,31,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.465753424657534,3.7682166666666665
0.581,0.76,-3.962,0.0406,0.16,0.0,0.183,0.523,104.099,57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.1808219178082195,3.4297833333333334
